,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
TIMM44,0.428808595305692,5.09118230632244,2.27116132675448,0.029483611264141,0.142695932665523,-4.52904685828564,TIMM44
CASC3,-0.325453487203101,6.1557977787196,-2.27070113853433,0.0295143567126125,0.142787276018741,-4.75406237922292,CASC3
WDR54,0.449799089196221,4.8689348679775,2.26919129734367,0.0296154323088883,0.143197998777172,-4.41991197638239,WDR54
IRF5,-0.615627952703946,3.90913428893599,-2.26907744750987,0.0296230665134783,0.143197998777172,-4.26671064397517,IRF5
TRAPPC1,-0.416211064864727,4.37918666920106,-2.26880440263278,0.0296413827451782,0.143212603681831,-4.27939624690231,TRAPPC1
NUDT7,-1.07067124235649,1.25855149477918,-2.26867744081986,0.0296499029822698,0.143212603681831,-3.6183178901255,NUDT7
CCND3,-0.19808235877621,7.46185047798224,-2.26760346431098,0.0297220640866575,0.143475065017153,-5.01915563584707,CCND3
BRMS1L,0.582765840867105,3.35966652058983,2.26751373355518,0.0297281002762739,0.143475065017153,-4.0503002032947,BRMS1L
SWT1,1.08988458262562,2.0650790660205,2.26654172755718,0.0297935576723803,0.143728845725703,-3.77519494875601,SWT1
MIEF1,-0.275646467028991,6.44543602761805,-2.26637816964804,0.0298045847875534,0.143728845725703,-4.88025152182241,MIEF1
C1orf74,-0.690063994809403,3.51808458439615,-2.26508316922992,0.0298920234031368,0.144092731651113,-4.04976630153446,C1orf74
CALCA,-1.19293347816622,3.4580119385757,-2.26455323168258,0.0299278711731666,0.144207735015895,-3.63110404317008,CALCA
MTIF3,-0.352953078513538,4.90582174911531,-2.2634251482088,0.0300043091470911,0.144518152227499,-4.43175850047283,MTIF3
UBAP2L,0.269647573553401,7.46448826995328,2.262692286361,0.0300540610356639,0.144699836699732,-5.09783553216148,UBAP2L
ZNF19,-1.12494479516107,1.90125044759466,-2.26247983247871,0.0300684977487998,0.14471141353534,-3.74750947369792,ZNF19
JAK1,0.171308069546182,8.33394855096003,2.26103423014227,0.0301668948989905,0.145126897980063,-5.25894413506325,JAK1
WLS,-0.26881807397425,6.59992031598754,-2.26071393579212,0.0301887352685991,0.145139325813518,-4.9195485206795,WLS
EIF3D,0.206474423872602,7.53477927611779,2.26052613285637,0.0302015478502041,0.145139325813518,-5.11561752377707,EIF3D
TMLHE,-0.333400874377704,5.41143314926406,-2.26046555696185,0.0302056815923536,0.145139325813518,-4.59872650206337,TMLHE
ZNHIT2,-0.515532912839742,3.806660618546,-2.26015055178185,0.0302271859506669,0.145180537408412,-4.15230753930367,ZNHIT2
CHRNB1,-1.34219172573083,1.05149609097466,-2.25991097199636,0.0302435504580385,0.145180537408412,-3.62424705840512,CHRNB1
EFR3A,0.255545134540225,7.05401743509099,2.25980967416365,0.0302504720001231,0.145180537408412,-4.98255570887605,EFR3A
DPY19L3,0.768196488635423,3.45680336629793,2.25889722214133,0.030312882647685,0.145422034145875,-4.01157790689248,DPY19L3
